district,code,name,region,grades,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Robeson County Schools,780402,South Robeson High,Sandhills,09-12,Y,83.2,D,Not Met,19.4,90.8
Robeson County Schools,780364,Pembroke Elementary,Sandhills,PK-05,Y,83.4,D,Met,42.9,N/A
Bladen County Schools,090318,Bladen Lakes Primary,Sandhills,PK-04,Y,83.5,D,Met,47.3,N/A
Robeson County Schools,780324,Fairgrove Middle,Sandhills,04-08,Y,83.5,D,Not Met,33.9,N/A
Moore County Schools,630348,Robbins Elementary,Sandhills,PK-05,Y,83.6,D,Not Met,30.7,N/A
Bladen County Schools,090365,Tar Heel Middle,Sandhills,05-08,Y,83.9,D,Not Met,42.8,N/A
Wilson County Schools,980357,Vick Elementary,North Central,PK-05,Y,84.4,D,Not Met,31.3,N/A
Brunswick County Schools,100338,Supply Elementary,Southeast,PK-05,Y,84.7,D,Not Met,44.8,N/A
Duplin County Schools,310336,Warsaw Elementary,Southeast,PK-08,Y,85,D,Met,35.5,N/A
Robeson County Schools,780390,R B Dean Elementary,Sandhills,PK-04,Y,85,D,Met,33.9,N/A
Bladen County Schools,090324,Dublin Primary,Sandhills,PK-04,Y,85.2,D,Met,41.1,N/A
Robeson County Schools,780368,Pembroke Middle,Sandhills,06-08,Y,85.2,D,Not Met,33.8,N/A
Wayne County Public Schools,960314,Brogden Primary,Southeast,PK-04,Y,85.4,D,Exceeded,37,N/A
Charter Schools,65C000,Douglass Academy,Southeast,0K-05,Y,85.5,D,Met,48,N/A
Charter Schools,32M000,Global Scholars Academy,North Central,0K-08,Y,85.6,D,Not Met,49.2,N/A
Columbus County Schools,240344,Evergreen Elementary,Sandhills,PK-08,Y,85.8,D,Met,43.9,N/A
Robeson County Schools,780356,Oxendine Elementary,Sandhills,PK-06,Y,85.9,D,Exceeded,42.4,N/A
Lenoir County Public Schools,540315,Kinston High,Southeast,09-12,Y,86,D,Not Met,27.1,82
Granville County Schools,390364,West Oxford Elementary,North Central,PK-05,Y,86.3,D,Met,32.7,N/A
Chatham County Schools,190312,Chatham Middle,North Central,06-08,Y,87.2,D,Not Met,43.5,N/A
Craven County Schools,250348,J T Barber Elementary,Southeast,PK-05,Y,87.6,D,Met,27.7,N/A
Forsyth County Schools,340351,Cook Literacy Model School,Piedmont-Triad,PK-05,Y,87.8,D,Exceeded,28.5,N/A
Robeson County Schools,780376,Piney Grove Elementary,Sandhills,PK-06,Y,87.9,D,Not Met,39.2,N/A
Robeson County Schools,780329,Janie C Hargrave Elem,Sandhills,PK-04,Y,88.5,D,Met,35.3,N/A
Robeson County Schools,780396,Rowland Middle,Sandhills,06-08,Y,88.7,D,Exceeded,29.2,N/A
Charter Schools,96C000,Dillard Academy,Southeast,0K-08,Y,89.1,D,Met,34,N/A
Cumberland County Schools,260361,Ferguson-Easley Elementary,Sandhills,0K-05,Y,90,D,Met,35.8,N/A
Robeson County Schools,780320,Deep Branch Elementary,Sandhills,PK-06,Y,90.4,D,Met,40.3,N/A
Wayne County Public Schools,960335,Goldsboro High,Southeast,09-12,N,90.6,D,Not Met,12.1,73.8
Pender County Schools,710324,Malpass Corner Elementary,Southeast,PK-05,Y,90.7,D,Exceeded,41,N/A
Columbus County Schools,240332,Chadbourn Elementary,Sandhills,PK-05,Y,91.3,D,Not Met,47.7,N/A
Cumberland County Schools,260405,Walker-Spivey Elementary,Sandhills,0K-05,Y,91.4,D,Met,43.2,N/A
Wayne County Public Schools,960318,Carver Heights Elementary,Southeast,03-05,Y,91.4,D,Exceeded,27.7,N/A
New Hanover County Schools,650384,A H Snipes Academy of Arts/Des,Southeast,0K-05,Y,91.5,D,Met,33.2,N/A
Robeson County Schools,780394,Rosenwald Elementary,Sandhills,PK-04,Y,91.9,D,Met,32.7,N/A
Wayne County Public Schools,960390,North Drive Elementary,Southeast,PK-02,Y,92.1,D,N/A,N/A,N/A
Pender County Schools,710348,West Pender Middle,Southeast,06-08,Y,92.2,D,Met,42.2,N/A
Scotland County Schools,830320,I E Johnson Elementary,Sandhills,PK-05,Y,93.2,D,Met,37.8,N/A
Lenoir County Public Schools,540325,Northeast Elementary,Southeast,PK-05,Y,93.7,D,Met,31.5,N/A
Lab Schools,34Z000,Appalachian Academy at Middle Fork,Piedmont-Triad,0K-05,Y,<5,D,Met,25.4,N/A
Lenoir County Public Schools,540338,Southeast Elementary,Southeast,0K-05,Y,>95,D,Met,36.9,N/A
Robeson County Schools,780417,W H Knuckles,Sandhills,PK-04,Y,>95,D,Met,36.1,N/A
